年份,学科门类,学科专业（一级学科/专业学位类别）,A类总分,A类单科(满分=100),A类单科(满分>100),B类总分,B类单科(满分=100),B类单科(满分>100),官方URL,核对说明
2025,教育学[04],体育学[0403]、体育[0452],304,36,108,294,33,99,https://yz.chsi.com.cn/kyzx/kp/202502/20250224/2293352975.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2025,教育学[04],教育[0451]、国际中文教育[0453],341,45,68,331,42,63,https://yz.chsi.com.cn/kyzx/kp/202502/20250224/2293352975.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2025,教育学[04],其他学科专业,341,45,135,331,42,126,https://yz.chsi.com.cn/kyzx/kp/202502/20250224/2293352975.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2025,文学[05],各学科专业,351,47,71,341,44,66,https://yz.chsi.com.cn/kyzx/kp/202502/20250224/2293352975.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2025,历史学[06],各学科专业,336,43,129,326,40,120,https://yz.chsi.com.cn/kyzx/kp/202502/20250224/2293352975.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2025,理学[07],各学科专业,274,34,51,264,31,47,https://yz.chsi.com.cn/kyzx/kp/202502/20250224/2293352975.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2025,工学[08],工学照顾专业,251,33,50,241,30,45,https://yz.chsi.com.cn/kyzx/kp/202502/20250224/2293352975.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2025,工学[08],其他学科专业,260,34,51,250,31,47,https://yz.chsi.com.cn/kyzx/kp/202502/20250224/2293352975.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2025,农学[09],各学科专业,245,33,50,235,30,45,https://yz.chsi.com.cn/kyzx/kp/202502/20250224/2293352975.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2025,医学[10],各学科专业,293,36,108,283,33,99,https://yz.chsi.com.cn/kyzx/kp/202502/20250224/2293352975.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2025,军事学[11],各学科专业,260,34,51,250,31,47,https://yz.chsi.com.cn/kyzx/kp/202502/20250224/2293352975.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2025,管理学[12],工商管理[1251]、旅游管理[1254],151,35,70,141,30,60,https://yz.chsi.com.cn/kyzx/kp/202502/20250224/2293352975.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2025,管理学[12],公共管理[1252],164,38,76,154,33,66,https://yz.chsi.com.cn/kyzx/kp/202502/20250224/2293352975.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2025,管理学[12],会计[1253]、审计[1257],194,48,96,184,43,86,https://yz.chsi.com.cn/kyzx/kp/202502/20250224/2293352975.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2025,管理学[12],图书情报[1255],191,48,96,181,43,86,https://yz.chsi.com.cn/kyzx/kp/202502/20250224/2293352975.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2025,管理学[12],工程管理[1256],162,38,76,152,33,66,https://yz.chsi.com.cn/kyzx/kp/202502/20250224/2293352975.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2025,管理学[12],其他学科专业,333,41,62,323,38,57,https://yz.chsi.com.cn/kyzx/kp/202502/20250224/2293352975.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2025,艺术学[13],各学科专业,351,37,56,341,34,51,https://yz.chsi.com.cn/kyzx/kp/202502/20250224/2293352975.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2025,交叉学科[14],各学科专业,266,34,51,256,31,47,https://yz.chsi.com.cn/kyzx/kp/202502/20250224/2293352975.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2026,哲学[01],各学科专业,326,41,62,316,38,57,https://yz.chsi.com.cn/kyzx/kp/202602/20260228/2293449093.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2026,经济学[02],各学科专业,324,40,60,314,37,56,https://yz.chsi.com.cn/kyzx/kp/202602/20260228/2293449093.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2026,法学[03],各学科专业,321,40,60,311,37,56,https://yz.chsi.com.cn/kyzx/kp/202602/20260228/2293449093.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2026,教育学[04],体育学[0403]、体育[0452],310,38,114,300,35,105,https://yz.chsi.com.cn/kyzx/kp/202602/20260228/2293449093.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2026,教育学[04],教育[0451]、国际中文教育[0453],347,48,72,337,45,68,https://yz.chsi.com.cn/kyzx/kp/202602/20260228/2293449093.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2026,教育学[04],其他学科专业,347,48,144,337,45,135,https://yz.chsi.com.cn/kyzx/kp/202602/20260228/2293449093.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2026,文学[05],各学科专业,354,48,72,344,45,68,https://yz.chsi.com.cn/kyzx/kp/202602/20260228/2293449093.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2026,历史学[06],各学科专业,341,45,135,331,42,126,https://yz.chsi.com.cn/kyzx/kp/202602/20260228/2293449093.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2026,理学[07],各学科专业,275,35,53,265,32,48,https://yz.chsi.com.cn/kyzx/kp/202602/20260228/2293449093.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
2026,工学[08],工学照顾专业,251,33,50,241,30,45,https://yz.chsi.com.cn/kyzx/kp/202602/20260228/2293449093.html,官方发布页 HTML 表格逐行核录；原始存证见 data/official/raw/chsi/
