sch_id,name,province,department,is_double_first,has_graduate_school,is_self_line,source_url
368129,上海交通大学,上海,教育部,1,1,1,https://yz.chsi.com.cn/sch/schoolInfo--schId-368129.dhtml
368037,东北大学,辽宁,教育部,1,1,1,https://yz.chsi.com.cn/sch/schoolInfo--schId-368037.dhtml
368180,东南大学,江苏,教育部,1,1,1,https://yz.chsi.com.cn/sch/schoolInfo--schId-368180.dhtml
368393,中南大学,湖南,教育部,1,1,1,https://yz.chsi.com.cn/sch/schoolInfo--schId-368393.dhtml
367879,中国人民大学,北京,教育部,1,1,1,https://yz.chsi.com.cn/sch/schoolInfo--schId-367879.dhtml
367893,中国农业大学,北京,教育部,1,1,1,https://yz.chsi.com.cn/sch/schoolInfo--schId-367893.dhtml
368237,中国科学技术大学,安徽,中国科学院,1,1,1,https://yz.chsi.com.cn/sch/schoolInfo--schId-368237.dhtml
368411,中山大学,广东,教育部,1,1,1,https://yz.chsi.com.cn/sch/schoolInfo--schId-368411.dhtml
368587,兰州大学,甘肃,教育部,1,1,1,https://yz.chsi.com.cn/sch/schoolInfo--schId-368587.dhtml
367878,北京大学,北京,教育部,1,1,1,https://yz.chsi.com.cn/sch/schoolInfo--schId-367878.dhtml
367859,北京师范大学,北京,教育部,1,1,1,https://yz.chsi.com.cn/sch/schoolInfo--schId-367859.dhtml
367884,北京理工大学,北京,工业与信息化部,1,1,1,https://yz.chsi.com.cn/sch/schoolInfo--schId-367884.dhtml
367883,北京航空航天大学,北京,工业与信息化部,1,1,1,https://yz.chsi.com.cn/sch/schoolInfo--schId-367883.dhtml
368358,华中科技大学,湖北,教育部,1,1,1,https://yz.chsi.com.cn/sch/schoolInfo--schId-368358.dhtml
368416,华南理工大学,广东,教育部,1,1,1,https://yz.chsi.com.cn/sch/schoolInfo--schId-368416.dhtml
368194,南京大学,江苏,教育部,1,1,1,https://yz.chsi.com.cn/sch/schoolInfo--schId-368194.dhtml
367949,南开大学,天津,教育部,1,1,1,https://yz.chsi.com.cn/sch/schoolInfo--schId-367949.dhtml
368256,厦门大学,福建,教育部,1,1,1,https://yz.chsi.com.cn/sch/schoolInfo--schId-368256.dhtml
368065,吉林大学,吉林,教育部,1,1,1,https://yz.chsi.com.cn/sch/schoolInfo--schId-368065.dhtml
368128,同济大学,上海,教育部,1,1,1,https://yz.chsi.com.cn/sch/schoolInfo--schId-368128.dhtml
368087,哈尔滨工业大学,黑龙江,工业与信息化部,1,1,1,https://yz.chsi.com.cn/sch/schoolInfo--schId-368087.dhtml
368479,四川大学,四川,教育部,1,1,1,https://yz.chsi.com.cn/sch/schoolInfo--schId-368479.dhtml
368127,复旦大学,上海,教育部,1,1,1,https://yz.chsi.com.cn/sch/schoolInfo--schId-368127.dhtml
368033,大连理工大学,辽宁,教育部,1,1,1,https://yz.chsi.com.cn/sch/schoolInfo--schId-368033.dhtml
367959,天津大学,天津,教育部,1,1,1,https://yz.chsi.com.cn/sch/schoolInfo--schId-367959.dhtml
368289,山东大学,山东,教育部,1,1,1,https://yz.chsi.com.cn/sch/schoolInfo--schId-368289.dhtml
368357,武汉大学,湖北,教育部,1,1,1,https://yz.chsi.com.cn/sch/schoolInfo--schId-368357.dhtml
368213,浙江大学,浙江,教育部,1,1,1,https://yz.chsi.com.cn/sch/schoolInfo--schId-368213.dhtml
367880,清华大学,北京,教育部,1,1,1,https://yz.chsi.com.cn/sch/schoolInfo--schId-367880.dhtml
368380,湖南大学,湖南,教育部,1,1,1,https://yz.chsi.com.cn/sch/schoolInfo--schId-368380.dhtml
368480,电子科技大学,四川,教育部,1,1,1,https://yz.chsi.com.cn/sch/schoolInfo--schId-368480.dhtml
368555,西北工业大学,陕西,工业与信息化部,1,1,1,https://yz.chsi.com.cn/sch/schoolInfo--schId-368555.dhtml
368554,西安交通大学,陕西,教育部,1,1,1,https://yz.chsi.com.cn/sch/schoolInfo--schId-368554.dhtml
368455,重庆大学,重庆,教育部,1,1,1,https://yz.chsi.com.cn/sch/schoolInfo--schId-368455.dhtml
368136,上海中医药大学,上海,上海市,1,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368136.dhtml
368149,上海体育大学,上海,国家体育总局,1,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368149.dhtml
368139,上海外国语大学,上海,教育部,1,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368139.dhtml
368146,上海大学,上海,上海市,1,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368146.dhtml
368134,上海海洋大学,上海,上海市,1,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368134.dhtml
1725132009,上海科技大学,上海,上海市,1,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-1725132009.dhtml
368143,上海财经大学,上海,教育部,1,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368143.dhtml
368148,上海音乐学院,上海,上海市,1,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368148.dhtml
368098,东北农业大学,黑龙江,黑龙江省,1,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368098.dhtml
368059,东北师范大学,吉林,教育部,1,1,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368059.dhtml
368097,东北林业大学,黑龙江,教育部,1,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368097.dhtml
368133,东华大学,上海,教育部,1,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368133.dhtml
368376,中南财经政法大学,湖北,教育部,1,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368376.dhtml
367870,中国人民公安大学,北京,公安部,1,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-367870.dhtml
367876,中国传媒大学,北京,教育部,1,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-367876.dhtml
367925,中国地质大学(北京),北京,教育部,1,1,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-367925.dhtml
368369,中国地质大学(武汉),湖北,教育部,1,1,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368369.dhtml
367921,中国政法大学,北京,教育部,1,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-367921.dhtml
368290,中国海洋大学,山东,教育部,1,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368290.dhtml
367916,中国石油大学(北京),北京,教育部,1,1,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-367916.dhtml
368302,中国石油大学(华东),山东,教育部,1,1,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368302.dhtml
368184,中国矿业大学,江苏,教育部,1,1,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368184.dhtml
367923,中国矿业大学(北京),北京,教育部,1,1,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-367923.dhtml
367929,中国科学院大学,北京,中国科学院,1,1,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-367929.dhtml
368203,中国美术学院,浙江,浙江省,1,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368203.dhtml
368193,中国药科大学,江苏,教育部,1,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368193.dhtml
367874,中国音乐学院,北京,北京市,1,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-367874.dhtml
367858,中央戏剧学院,北京,教育部,1,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-367858.dhtml
367920,中央民族大学,北京,国家民族事务委员会,1,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-367920.dhtml
367875,中央美术学院,北京,教育部,1,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-367875.dhtml
367866,中央财经大学,北京,教育部,1,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-367866.dhtml
367873,中央音乐学院,北京,教育部,1,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-367873.dhtml
368520,云南大学,云南,云南省,1,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368520.dhtml
368005,内蒙古大学,内蒙古,内蒙古自治区,1,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-368005.dhtml
367885,北京中医药大学,北京,教育部,1,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-367885.dhtml
367881,北京交通大学,北京,教育部,1,1,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-367881.dhtml
367872,北京体育大学,北京,国家体育总局,1,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-367872.dhtml
367877,北京化工大学,北京,教育部,1,0,0,https://yz.chsi.com.cn/sch/schoolInfo--schId-367877.dhtml
