year,school_name,school_sch_id,degree_type,major_code,major_name,total,politics,english,business1,business2,line_type,source_url
2025,清华大学,367880,专业学位,0853,城乡规划,330,45,45,90,90,自划线校线(校线基准),https://yz.tsinghua.edu.cn/__local/C/E2/A1/EFA848470BCE3987ADE84F78358_0976E8BB_54FB8.pdf
2025,清华大学,367880,专业学位,0862,风景园林,300,45,34,85,90,自划线校线(校线基准),https://yz.tsinghua.edu.cn/__local/C/E2/A1/EFA848470BCE3987ADE84F78358_0976E8BB_54FB8.pdf
2025,清华大学,367880,专业学位,1051,临床医学,330,50,40,190,,自划线校线(校线基准),https://yz.tsinghua.edu.cn/__local/C/E2/A1/EFA848470BCE3987ADE84F78358_0976E8BB_54FB8.pdf
2025,清华大学,367880,专业学位,1053,公共卫生,294,40,40,180,,自划线校线(校线基准),https://yz.tsinghua.edu.cn/__local/C/E2/A1/EFA848470BCE3987ADE84F78358_0976E8BB_54FB8.pdf
2025,清华大学,367880,专业学位,1251,工商管理(MBA),151,70,35,,,自划线校线(校线基准),https://yz.tsinghua.edu.cn/__local/C/E2/A1/EFA848470BCE3987ADE84F78358_0976E8BB_54FB8.pdf
2025,清华大学,367880,专业学位,1251,高级管理人员工商管理硕士(EMBA),125,125,,,,自划线校线(校线基准),https://yz.tsinghua.edu.cn/__local/C/E2/A1/EFA848470BCE3987ADE84F78358_0976E8BB_54FB8.pdf
2025,清华大学,367880,专业学位,1252,公共管理(MPA),164,76,38,,,自划线校线(校线基准),https://yz.tsinghua.edu.cn/__local/C/E2/A1/EFA848470BCE3987ADE84F78358_0976E8BB_54FB8.pdf
2025,清华大学,367880,专业学位,1253,会计,194,96,48,,,自划线校线(校线基准),https://yz.tsinghua.edu.cn/__local/C/E2/A1/EFA848470BCE3987ADE84F78358_0976E8BB_54FB8.pdf
2025,清华大学,367880,专业学位,125601,工程管理,162,76,38,,,自划线校线(校线基准),https://yz.tsinghua.edu.cn/__local/C/E2/A1/EFA848470BCE3987ADE84F78358_0976E8BB_54FB8.pdf
2025,清华大学,367880,专业学位,125604,物流工程与管理,237,140,70,,,自划线校线(校线基准),https://yz.tsinghua.edu.cn/__local/C/E2/A1/EFA848470BCE3987ADE84F78358_0976E8BB_54FB8.pdf
2025,清华大学,367880,专业学位,1258S1,医疗管理,182,76,38,,,自划线校线(校线基准),https://yz.tsinghua.edu.cn/__local/C/E2/A1/EFA848470BCE3987ADE84F78358_0976E8BB_54FB8.pdf
2025,清华大学,367880,专业学位,1259S1,全球领导力,246,163,78,,,自划线校线(校线基准),https://yz.tsinghua.edu.cn/__local/C/E2/A1/EFA848470BCE3987ADE84F78358_0976E8BB_54FB8.pdf
2025,清华大学,367880,专业学位,1356,美术与书法,351,45,40,80,100,自划线校线(校线基准),https://yz.tsinghua.edu.cn/__local/C/E2/A1/EFA848470BCE3987ADE84F78358_0976E8BB_54FB8.pdf
2025,清华大学,367880,专业学位,1357,设计,351,45,40,80,100,自划线校线(校线基准),https://yz.tsinghua.edu.cn/__local/C/E2/A1/EFA848470BCE3987ADE84F78358_0976E8BB_54FB8.pdf
2026,清华大学,367880,学术学位,01,哲学,360,60,50,100,95,自划线校线(校线基准),https://yz.tsinghua.edu.cn/__local/1/98/E1/D00338C3A75048AC675C77F3DC3_913B3402_64B81.pdf
2026,清华大学,367880,学术学位,02,经济学,390,60,60,90,90,自划线校线(校线基准),https://yz.tsinghua.edu.cn/__local/1/98/E1/D00338C3A75048AC675C77F3DC3_913B3402_64B81.pdf
2026,清华大学,367880,学术学位,03,法学,330,55,55,90,90,自划线校线(校线基准),https://yz.tsinghua.edu.cn/__local/1/98/E1/D00338C3A75048AC675C77F3DC3_913B3402_64B81.pdf
2026,清华大学,367880,学术学位,04,教育学（不含体育学0403）,375,60,60,180,,自划线校线(校线基准),https://yz.tsinghua.edu.cn/__local/1/98/E1/D00338C3A75048AC675C77F3DC3_913B3402_64B81.pdf
2026,清华大学,367880,学术学位,0403,体育学,360,55,60,230,,自划线校线(校线基准),https://yz.tsinghua.edu.cn/__local/1/98/E1/D00338C3A75048AC675C77F3DC3_913B3402_64B81.pdf
2026,清华大学,367880,学术学位,05,文学,365,50,60,100,100,自划线校线(校线基准),https://yz.tsinghua.edu.cn/__local/1/98/E1/D00338C3A75048AC675C77F3DC3_913B3402_64B81.pdf
2026,清华大学,367880,学术学位,06,历史学,345,55,50,200,,自划线校线(校线基准),https://yz.tsinghua.edu.cn/__local/1/98/E1/D00338C3A75048AC675C77F3DC3_913B3402_64B81.pdf
2026,清华大学,367880,学术学位,07,理学,345,50,55,90,95,自划线校线(校线基准),https://yz.tsinghua.edu.cn/__local/1/98/E1/D00338C3A75048AC675C77F3DC3_913B3402_64B81.pdf
2026,清华大学,367880,学术学位,08,工学,330,50,50,80,70,自划线校线(校线基准),https://yz.tsinghua.edu.cn/__local/1/98/E1/D00338C3A75048AC675C77F3DC3_913B3402_64B81.pdf
2026,清华大学,367880,学术学位,10,医学,380,50,50,200,,自划线校线(校线基准),https://yz.tsinghua.edu.cn/__local/1/98/E1/D00338C3A75048AC675C77F3DC3_913B3402_64B81.pdf
2026,清华大学,367880,学术学位,12,管理学,340,50,50,85,80,自划线校线(校线基准),https://yz.tsinghua.edu.cn/__local/1/98/E1/D00338C3A75048AC675C77F3DC3_913B3402_64B81.pdf
2026,清华大学,367880,学术学位,13,艺术学,379,45,40,90,90,自划线校线(校线基准),https://yz.tsinghua.edu.cn/__local/1/98/E1/D00338C3A75048AC675C77F3DC3_913B3402_64B81.pdf
2026,清华大学,367880,学术学位,14,交叉学科,320,45,40,80,100,自划线校线(校线基准),https://yz.tsinghua.edu.cn/__local/1/98/E1/D00338C3A75048AC675C77F3DC3_913B3402_64B81.pdf
2026,清华大学,367880,专业学位,0251,金融,380,50,50,90,90,自划线校线(校线基准),https://yz.tsinghua.edu.cn/__local/1/98/E1/D00338C3A75048AC675C77F3DC3_913B3402_64B81.pdf
2026,清华大学,367880,专业学位,0252/0258/0259S1,应用统计/数字经济/技术转移,324,40,40,60,60,自划线校线(校线基准),https://yz.tsinghua.edu.cn/__local/1/98/E1/D00338C3A75048AC675C77F3DC3_913B3402_64B81.pdf
2026,清华大学,367880,专业学位,035101,法律（非法学）,343,55,55,90,90,自划线校线(校线基准),https://yz.tsinghua.edu.cn/__local/1/98/E1/D00338C3A75048AC675C77F3DC3_913B3402_64B81.pdf
